sitevar,arm,stem,stratum,n_mean,med_mean,n_single,med_single,improve
ank_overpass,pretrained,ank_30_30,5,83,0.8543268514550988,81,1.017384308668534,0.16305745721343512
ank_overpass,pretrained,ank_30_7,5,68,1.6449606020829202,83,2.200477668577223,0.555517066494303
ank_overpass,pretrained,ank_31_32,5,91,1.1907714318479645,94,1.3766318664768442,0.1858604346288797
ank_overpass,pretrained,ank_31_7,5,108,1.327836069114147,124,1.5282140171963285,0.20037794808218146
ank_overpass,pretrained,ank_32_12,3,39,4.127171858982415,49,3.94435261238675,-0.18281924659566462
ank_overpass,pretrained,ank_32_21,4,66,1.8443161108703907,56,2.278629119768777,0.4343130088983864
ank_overpass,pretrained,ank_32_37,5,108,1.2360955606694182,106,1.2117355955519344,-0.02435996511748373
ank_overpass,pretrained,ank_33_25,5,117,0.7665883864916588,95,0.6628517447839597,-0.10373664170769914
ank_overpass,pretrained,ank_33_3,5,95,1.3403266590773164,94,1.4263536042444787,0.08602694516716225
ank_overpass,pretrained,ank_33_34,5,164,1.0486155519028773,161,1.0092296573166208,-0.03938589458625641
ank_overpass,pretrained,ank_33_36,5,101,0.9202634170926207,82,0.889275110908686,-0.030988306183934666
ank_overpass,pretrained,ank_34_11,5,97,2.264864441809889,80,2.339784999526013,0.07492055771612405
ank_overpass,pretrained,ank_34_15,5,59,2.361355759228241,55,2.68840101939931,0.32704526017106916
ank_overpass,pretrained,ank_34_21,5,51,1.8381302070674455,48,2.0019981207312325,0.16386791366378706
ank_overpass,pretrained,ank_34_30,5,125,0.923459082200252,129,1.0680679480284196,0.14460886582816768
ank_overpass,pretrained,ank_35_11,5,108,1.400326330724348,106,1.4696012553976123,0.06927492467326424
ank_overpass,pretrained,ank_35_28,5,162,1.0165370027274503,160,0.9799123000217552,-0.03662470270569507
ank_overpass,pretrained,ank_35_39,3,63,2.222287663341978,54,2.049985786922859,-0.1723018764191191
ank_overpass,pretrained,ank_35_7,4,50,1.8554923247177284,48,1.6081806189260295,-0.24731170579169892
ank_overpass,pretrained,ank_36_40,1,39,3.714111466946388,36,3.411283324431821,-0.30282814251456713
ank_overpass,pretrained,ank_38_19,2,25,1.9142787514921284,27,3.432308578100129,1.5180298266080006
ank_overpass,pretrained,ank_38_22,5,86,1.027043494543408,70,0.8073896635354696,-0.21965383100793834
ank_overpass,pretrained,ank_38_24,4,37,2.6387728653831672,29,3.1926147090635695,0.5538418436804022
ank_overpass,pretrained,ank_38_27,4,52,2.210548520538296,51,2.397332126305344,0.18678360576704778
ank_overpass,pretrained,ank_38_40,2,30,3.937839501053066,34,3.908819245266571,-0.02902025578649514
ank_overpass,pretrained,ank_38_9,5,71,1.1186070581746743,100,1.2186124393309106,0.10000538115623625
ank_overpass,pretrained,ank_39_1,1,49,2.80581126523166,44,2.626637733916528,-0.17917353131513192
ank_overpass,pretrained,ank_3_13,2,49,3.5111295774221523,42,2.7147242735002193,-0.796405303921933
ank_overpass,pretrained,ank_3_25,1,43,3.6222397129570894,34,3.252194756196667,-0.3700449567604225
ank_overpass,pretrained,ank_3_29,1,13,3.143161063662518,9,4.8680302001762366,1.7248691365137185
ank_overpass,pretrained,ank_3_34,2,57,1.4909821751413264,42,1.5471060039183473,0.056123828777020934
ank_overpass,pretrained,ank_3_39,4,21,5.094267366642819,25,3.1422514371837544,-1.9520159294590642
ank_overpass,pretrained,ank_3_9,3,64,2.1373084617783116,48,2.177714283839724,0.04040582206141252
ank_overpass,pretrained,ank_40_19,4,77,1.1763742330176647,70,1.1560847179588474,-0.020289515058817376
ank_overpass,pretrained,ank_40_2,2,37,3.6136532309870644,26,3.4604272492813135,-0.15322598170575086
ank_overpass,pretrained,ank_40_40,1,40,3.3877895980710138,34,3.4493064691247453,0.06151687105373149
ank_overpass,pretrained,ank_41_0,2,44,2.8983377698333914,41,2.4492768761365613,-0.4490608936968301
ank_overpass,pretrained,ank_41_1,3,33,4.016587042333026,32,1.779803058704372,-2.236783983628654
ank_overpass,pretrained,ank_41_19,2,29,3.2585559740636962,31,3.570500529080033,0.3119445550163369
ank_overpass,pretrained,ank_41_40,1,27,2.8991851266182436,35,3.5760439883279256,0.676858861709682
ank_overpass,pretrained,ank_4_23,2,33,3.5314072095331572,43,3.6113127066180377,0.07990549708488048
ank_overpass,pretrained,ank_4_41,2,27,3.227951345520964,27,2.5273551257114004,-0.7005962198095634
ank_overpass,pretrained,ank_5_12,4,95,1.1278330450731398,94,1.3545000592036232,0.2266670141304834
ank_overpass,pretrained,ank_5_40,1,12,4.119002861021157,19,4.58020746060547,0.46120459958431326
ank_overpass,pretrained,ank_5_5,4,92,1.480968995897325,79,1.5058048753851876,0.0248358794878627
ank_overpass,pretrained,ank_6_10,3,102,2.398403502170532,87,2.504114825387608,0.1057113232170761
ank_overpass,pretrained,ank_6_38,1,16,2.2189703916296217,20,2.649860641463357,0.43089024983373525
ank_overpass,pretrained,ank_7_36,1,13,4.019801844480004,20,3.459929870983041,-0.5598719734969633
ank_overpass,pretrained,ank_7_8,2,80,2.092902222489271,86,1.8945405626643987,-0.1983616598248723
ank_overpass,pretrained,ank_8_19,1,33,3.97827983660275,31,4.566270168262229,0.5879903316594794
ank_overpass,pretrained,ank_8_22,3,41,2.3729225272014447,38,2.950548725798846,0.5776261985974012
ank_overpass,pretrained,ank_8_31,2,34,2.0005743409696395,32,1.9285830594844073,-0.07199128148523215
ank_overpass,pretrained,ank_8_41,3,66,1.5395283625779923,74,1.7225419844617609,0.18301362188376857
ank_overpass,pretrained,ank_9_1,3,49,2.672766694636283,50,2.1864951826295367,-0.48627151200674623
ank_overpass,pretrained,ank_9_24,2,30,2.849424595324588,35,2.9330454702265167,0.08362087490192893
ank_overpass,pretrained,ank_9_25,1,39,3.610677399123799,43,3.0839313364050387,-0.5267460627187601
ank_overpass,C1,ank_0_10,3,75,2.905710855759005,59,2.196531368954664,-0.7091794868043411
ank_overpass,C1,ank_0_16,5,82,1.0491996394719534,92,1.1340109412578787,0.08481130178592533
ank_overpass,C1,ank_0_30,1,26,3.744969757084183,33,3.6387236772436746,-0.10624607984050849
ank_overpass,C1,ank_0_41,2,35,0.9237404921759333,48,0.8275113212231205,-0.0962291709528128
ank_overpass,C1,ank_10_1,4,86,1.6826032706232996,77,1.9580838349179766,0.27548056429467693
ank_overpass,C1,ank_11_14,4,60,1.9560896849041016,68,2.345440533670546,0.3893508487664443
ank_overpass,C1,ank_12_21,1,54,4.113819978965882,43,3.724547833088947,-0.38927214587693504
ank_overpass,C1,ank_12_28,1,21,4.195070498379698,28,4.489326819252064,0.29425632087236586
